timesteps,ep_rew_mean,ep_len_mean
51,-6.9,50.0
52,-6.9,50.0
53,-6.9,50.0
54,-6.9,50.0
55,-6.9,50.0
56,-6.9,50.0
57,-6.9,50.0
58,-6.9,50.0
59,-6.9,50.0
60,-6.9,50.0
61,-6.9,50.0
62,-6.9,50.0
63,-6.9,50.0
64,-6.9,50.0
65,-6.9,50.0
66,-6.9,50.0
67,-6.9,50.0
68,-6.9,50.0
69,-6.9,50.0
70,-6.9,50.0
71,-6.9,50.0
72,-6.9,50.0
73,-6.9,50.0
74,-6.9,50.0
75,-6.9,50.0
76,-6.9,50.0
77,-6.9,50.0
78,-6.9,50.0
79,-6.9,50.0
80,-6.9,50.0
81,-6.9,50.0
82,-6.9,50.0
83,-6.9,50.0
84,-6.9,50.0
85,-6.9,50.0
86,-6.9,50.0
87,-6.9,50.0
88,-6.9,50.0
89,-6.9,50.0
90,-6.9,50.0
91,-6.9,50.0
92,-6.9,50.0
93,-6.9,50.0
94,-6.9,50.0
95,-6.9,50.0
96,-6.9,50.0
97,-6.9,50.0
98,-6.9,50.0
99,-6.9,50.0
100,-6.9,50.0
101,-7.5,50.0
102,-7.5,50.0
103,-7.5,50.0
104,-7.5,50.0
105,-7.5,50.0
106,-7.5,50.0
107,-7.5,50.0
108,-7.5,50.0
109,-7.5,50.0
110,-7.5,50.0
111,-7.5,50.0
112,-7.5,50.0
113,-7.5,50.0
114,-7.5,50.0
115,-7.5,50.0
116,-7.5,50.0
117,-7.5,50.0
118,-7.5,50.0
119,-7.5,50.0
120,-7.5,50.0
121,-7.5,50.0
122,-7.5,50.0
123,-7.5,50.0
124,-7.5,50.0
125,-7.5,50.0
126,-7.5,50.0
127,-7.5,50.0
128,-7.5,50.0
129,-7.5,50.0
130,-7.5,50.0
131,-7.5,50.0
132,-7.5,50.0
133,-7.5,50.0
134,-7.5,50.0
135,-7.5,50.0
136,-7.5,50.0
137,-7.5,50.0
138,-7.5,50.0
139,-7.5,50.0
140,-7.5,50.0
141,-7.5,50.0
142,-7.5,50.0
143,-7.5,50.0
144,-7.5,50.0
145,-7.5,50.0
146,-7.5,50.0
147,-7.5,50.0
148,-7.5,50.0
149,-7.5,50.0
150,-7.5,50.0
151,-7.1000000000000005,50.0
152,-7.1000000000000005,50.0
153,-7.1000000000000005,50.0
154,-7.1000000000000005,50.0
155,-7.1000000000000005,50.0
156,-7.1000000000000005,50.0
157,-7.1000000000000005,50.0
158,-7.1000000000000005,50.0
159,-7.1000000000000005,50.0
160,-7.1000000000000005,50.0
161,-7.1000000000000005,50.0
162,-7.1000000000000005,50.0
163,-7.1000000000000005,50.0
164,-7.1000000000000005,50.0
165,-7.1000000000000005,50.0
166,-7.1000000000000005,50.0
167,-7.1000000000000005,50.0
168,-7.1000000000000005,50.0
169,-7.1000000000000005,50.0
170,-7.1000000000000005,50.0
171,-7.1000000000000005,50.0
172,-7.1000000000000005,50.0
173,-7.1000000000000005,50.0
174,-7.1000000000000005,50.0
175,-7.1000000000000005,50.0
176,-7.1000000000000005,50.0
177,-7.1000000000000005,50.0
178,-7.1000000000000005,50.0
179,-7.1000000000000005,50.0
180,-7.1000000000000005,50.0
181,-7.1000000000000005,50.0
182,-7.1000000000000005,50.0
183,-7.1000000000000005,50.0
184,-7.1000000000000005,50.0
185,-7.1000000000000005,50.0
186,-7.1000000000000005,50.0
187,-7.1000000000000005,50.0
188,-7.1000000000000005,50.0
189,-7.1000000000000005,50.0
190,-7.1000000000000005,50.0
191,-7.1000000000000005,50.0
192,-7.1000000000000005,50.0
193,-7.1000000000000005,50.0
194,-7.1000000000000005,50.0
195,-7.1000000000000005,50.0
196,-7.1000000000000005,50.0
197,-7.1000000000000005,50.0
198,-7.1000000000000005,50.0
199,-7.1000000000000005,50.0
200,-7.1000000000000005,50.0
201,-7.35,50.0
202,-7.35,50.0
203,-7.35,50.0
204,-7.35,50.0
205,-7.35,50.0
206,-7.35,50.0
207,-7.35,50.0
208,-7.35,50.0
209,-7.35,50.0
210,-7.35,50.0
211,-7.35,50.0
212,-7.35,50.0
213,-7.35,50.0
214,-7.35,50.0
215,-7.35,50.0
216,-7.35,50.0
217,-7.35,50.0
218,-7.35,50.0
219,-7.35,50.0
220,-7.35,50.0
221,-7.35,50.0
222,-7.35,50.0
223,-7.35,50.0
224,-7.35,50.0
225,-7.35,50.0
226,-7.35,50.0
227,-7.35,50.0
228,-7.35,50.0
229,-7.35,50.0
230,-7.35,50.0
231,-7.35,50.0
232,-7.35,50.0
233,-7.35,50.0
234,-7.35,50.0
235,-7.35,50.0
236,-7.35,50.0
237,-7.35,50.0
238,-7.35,50.0
239,-7.35,50.0
240,-7.35,50.0
241,-7.35,50.0
242,-7.35,50.0
243,-7.35,50.0
244,-7.35,50.0
245,-7.35,50.0
246,-7.35,50.0
247,-7.35,50.0
248,-7.35,50.0
249,-7.35,50.0
250,-7.35,50.0
251,-7.139999999999999,50.0
252,-7.139999999999999,50.0
253,-7.139999999999999,50.0
254,-7.139999999999999,50.0
255,-7.139999999999999,50.0
256,-7.139999999999999,50.0
257,-7.139999999999999,50.0
258,-7.139999999999999,50.0
259,-7.139999999999999,50.0
260,-7.139999999999999,50.0
261,-7.139999999999999,50.0
262,-7.139999999999999,50.0
263,-7.139999999999999,50.0
264,-7.139999999999999,50.0
265,-7.139999999999999,50.0
266,-7.139999999999999,50.0
267,-7.139999999999999,50.0
268,-7.139999999999999,50.0
269,-7.139999999999999,50.0
270,-7.139999999999999,50.0
271,-7.139999999999999,50.0
272,-7.139999999999999,50.0
273,-7.139999999999999,50.0
274,-7.139999999999999,50.0
275,-7.139999999999999,50.0
276,-7.139999999999999,50.0
277,-7.139999999999999,50.0
278,-7.139999999999999,50.0
279,-7.139999999999999,50.0
280,-7.139999999999999,50.0
281,-7.139999999999999,50.0
282,-7.139999999999999,50.0
283,-7.139999999999999,50.0
284,-7.139999999999999,50.0
285,-7.139999999999999,50.0
286,-7.139999999999999,50.0
287,-7.139999999999999,50.0
288,-7.139999999999999,50.0
289,-7.139999999999999,50.0
290,-7.139999999999999,50.0
291,-7.139999999999999,50.0
292,-7.139999999999999,50.0
293,-7.139999999999999,50.0
294,-7.139999999999999,50.0
295,-7.139999999999999,50.0
296,-7.139999999999999,50.0
297,-7.139999999999999,50.0
298,-7.139999999999999,50.0
299,-7.139999999999999,50.0
300,-7.139999999999999,50.0
301,-7.3,50.0
302,-7.3,50.0
303,-7.3,50.0
304,-7.3,50.0
305,-7.3,50.0
306,-7.3,50.0
307,-7.3,50.0
308,-7.3,50.0
309,-7.3,50.0
310,-7.3,50.0
311,-7.3,50.0
312,-7.3,50.0
313,-7.3,50.0
314,-7.3,50.0
315,-7.3,50.0
316,-7.3,50.0
317,-7.3,50.0
318,-7.3,50.0
319,-7.3,50.0
320,-7.3,50.0
321,-7.3,50.0
322,-7.3,50.0
323,-7.3,50.0
324,-7.3,50.0
325,-7.3,50.0
326,-7.3,50.0
327,-7.3,50.0
328,-7.3,50.0
329,-7.3,50.0
330,-7.3,50.0
331,-7.3,50.0
332,-7.3,50.0
333,-7.3,50.0
334,-7.3,50.0
335,-7.3,50.0
336,-7.3,50.0
337,-7.3,50.0
338,-7.3,50.0
339,-7.3,50.0
340,-7.3,50.0
341,-7.3,50.0
342,-7.3,50.0
343,-7.3,50.0
344,-7.3,50.0
345,-7.3,50.0
346,-7.3,50.0
347,-7.3,50.0
348,-7.3,50.0
349,-7.3,50.0
350,-7.3,50.0
351,-6.8999999999999995,50.0
352,-6.8999999999999995,50.0
353,-6.8999999999999995,50.0
354,-6.8999999999999995,50.0
355,-6.8999999999999995,50.0
356,-6.8999999999999995,50.0
357,-6.8999999999999995,50.0
358,-6.8999999999999995,50.0
359,-6.8999999999999995,50.0
360,-6.8999999999999995,50.0
361,-6.8999999999999995,50.0
362,-6.8999999999999995,50.0
363,-6.8999999999999995,50.0
364,-6.8999999999999995,50.0
365,-6.8999999999999995,50.0
366,-6.8999999999999995,50.0
367,-6.8999999999999995,50.0
368,-6.8999999999999995,50.0
369,-6.8999999999999995,50.0
370,-6.8999999999999995,50.0
371,-6.8999999999999995,50.0
372,-6.8999999999999995,50.0
373,-6.8999999999999995,50.0
374,-6.8999999999999995,50.0
375,-6.8999999999999995,50.0
376,-6.8999999999999995,50.0
377,-6.8999999999999995,50.0
378,-6.8999999999999995,50.0
379,-6.8999999999999995,50.0
380,-6.8999999999999995,50.0
381,-6.8999999999999995,50.0
382,-6.8999999999999995,50.0
383,-6.8999999999999995,50.0
384,-6.8999999999999995,50.0
385,-6.8999999999999995,50.0
386,-6.8999999999999995,50.0
387,-6.8999999999999995,50.0
388,-6.8999999999999995,50.0
389,-6.8999999999999995,50.0
390,-6.8999999999999995,50.0
391,-6.8999999999999995,50.0
392,-6.8999999999999995,50.0
393,-6.8999999999999995,50.0
394,-6.8999999999999995,50.0
395,-6.8999999999999995,50.0
396,-6.8999999999999995,50.0
397,-6.8999999999999995,50.0
398,-6.8999999999999995,50.0
399,-6.8999999999999995,50.0
400,-6.8999999999999995,50.0
401,-6.975,50.0
402,-6.975,50.0
403,-6.975,50.0
404,-6.975,50.0
405,-6.975,50.0
406,-6.975,50.0
407,-6.975,50.0
408,-6.975,50.0
409,-6.975,50.0
410,-6.975,50.0
411,-6.975,50.0
412,-6.975,50.0
413,-6.975,50.0
414,-6.975,50.0
415,-6.975,50.0
416,-6.975,50.0
417,-6.975,50.0
418,-6.975,50.0
419,-6.975,50.0
420,-6.975,50.0
421,-6.975,50.0
422,-6.975,50.0
423,-6.975,50.0
424,-6.975,50.0
425,-6.975,50.0
426,-6.975,50.0
427,-6.975,50.0
428,-6.975,50.0
429,-6.975,50.0
430,-6.975,50.0
431,-6.975,50.0
432,-6.975,50.0
433,-6.975,50.0
434,-6.975,50.0
435,-6.975,50.0
436,-6.975,50.0
437,-6.975,50.0
438,-6.975,50.0
439,-6.975,50.0
440,-6.975,50.0
441,-6.975,50.0
442,-6.975,50.0
443,-6.975,50.0
444,-6.975,50.0
445,-6.975,50.0
446,-6.975,50.0
447,-6.975,50.0
448,-6.975,50.0
449,-6.975,50.0
450,-6.975,50.0
451,-7.1,50.0
452,-7.1,50.0
453,-7.1,50.0
454,-7.1,50.0
455,-7.1,50.0
456,-7.1,50.0
457,-7.1,50.0
458,-7.1,50.0
459,-7.1,50.0
460,-7.1,50.0
461,-7.1,50.0
462,-7.1,50.0
463,-7.1,50.0
464,-7.1,50.0
465,-7.1,50.0
466,-7.1,50.0
467,-7.1,50.0
468,-7.1,50.0
469,-7.1,50.0
470,-7.1,50.0
471,-7.1,50.0
472,-7.1,50.0
473,-7.1,50.0
474,-7.1,50.0
475,-7.1,50.0
476,-7.1,50.0
477,-7.1,50.0
478,-7.1,50.0
479,-7.1,50.0
480,-7.1,50.0
481,-7.1,50.0
482,-7.1,50.0
483,-7.1,50.0
484,-7.1,50.0
485,-7.1,50.0
486,-7.1,50.0
487,-7.1,50.0
488,-7.1,50.0
489,-7.1,50.0
490,-7.1,50.0
491,-7.1,50.0
492,-7.1,50.0
493,-7.1,50.0
494,-7.1,50.0
495,-7.1,50.0
496,-7.1,50.0
497,-7.1,50.0
498,-7.1,50.0
499,-7.1,50.0
500,-7.1,50.0
501,-7.2,50.0
502,-7.2,50.0
503,-7.2,50.0
504,-7.2,50.0
505,-7.2,50.0
506,-7.2,50.0
507,-7.2,50.0
508,-7.2,50.0
509,-7.2,50.0
510,-7.2,50.0
511,-7.2,50.0
512,-7.2,50.0
513,-7.2,50.0
514,-7.2,50.0
515,-7.2,50.0
516,-7.2,50.0
517,-7.2,50.0
518,-7.2,50.0
519,-7.2,50.0
520,-7.2,50.0
521,-7.2,50.0
522,-7.2,50.0
523,-7.2,50.0
524,-7.2,50.0
525,-7.2,50.0
526,-7.2,50.0
527,-7.2,50.0
528,-7.2,50.0
529,-7.2,50.0
530,-7.2,50.0
531,-7.2,50.0
532,-7.2,50.0
533,-7.2,50.0
534,-7.2,50.0
535,-7.2,50.0
536,-7.2,50.0
537,-7.2,50.0
538,-7.2,50.0
539,-7.2,50.0
540,-7.2,50.0
541,-7.2,50.0
542,-7.2,50.0
543,-7.2,50.0
544,-7.2,50.0
545,-7.2,50.0
546,-7.2,50.0
547,-7.2,50.0
548,-7.2,50.0
549,-7.2,50.0
550,-7.2,50.0
551,-7.281818181818181,50.0
552,-7.281818181818181,50.0
553,-7.281818181818181,50.0
554,-7.281818181818181,50.0
555,-7.281818181818181,50.0
556,-7.281818181818181,50.0
557,-7.281818181818181,50.0
558,-7.281818181818181,50.0
559,-7.281818181818181,50.0
560,-7.281818181818181,50.0
561,-7.281818181818181,50.0
562,-7.281818181818181,50.0
563,-7.281818181818181,50.0
564,-7.281818181818181,50.0
565,-7.281818181818181,50.0
566,-7.281818181818181,50.0
567,-7.281818181818181,50.0
568,-7.281818181818181,50.0
569,-7.281818181818181,50.0
570,-7.281818181818181,50.0
571,-7.281818181818181,50.0
572,-7.281818181818181,50.0
573,-7.281818181818181,50.0
574,-7.281818181818181,50.0
575,-7.281818181818181,50.0
576,-7.281818181818181,50.0
577,-7.281818181818181,50.0
578,-7.281818181818181,50.0
579,-7.281818181818181,50.0
580,-7.281818181818181,50.0
581,-7.281818181818181,50.0
582,-7.281818181818181,50.0
583,-7.281818181818181,50.0
584,-7.281818181818181,50.0
585,-7.281818181818181,50.0
586,-7.281818181818181,50.0
587,-7.281818181818181,50.0
588,-7.281818181818181,50.0
589,-7.281818181818181,50.0
590,-7.281818181818181,50.0
591,-7.281818181818181,50.0
592,-7.281818181818181,50.0
593,-7.281818181818181,50.0
594,-7.281818181818181,50.0
595,-7.281818181818181,50.0
596,-7.281818181818181,50.0
597,-7.281818181818181,50.0
598,-7.281818181818181,50.0
599,-7.281818181818181,50.0
600,-7.281818181818181,50.0
601,-7.349999999999999,50.0
602,-7.349999999999999,50.0
603,-7.349999999999999,50.0
604,-7.349999999999999,50.0
605,-7.349999999999999,50.0
606,-7.349999999999999,50.0
607,-7.349999999999999,50.0
608,-7.349999999999999,50.0
609,-7.349999999999999,50.0
610,-7.349999999999999,50.0
611,-7.349999999999999,50.0
612,-7.349999999999999,50.0
613,-7.349999999999999,50.0
614,-7.349999999999999,50.0
615,-7.349999999999999,50.0
616,-7.349999999999999,50.0
617,-7.349999999999999,50.0
618,-7.349999999999999,50.0
619,-7.349999999999999,50.0
620,-7.349999999999999,50.0
621,-7.349999999999999,50.0
622,-7.349999999999999,50.0
623,-7.349999999999999,50.0
624,-7.349999999999999,50.0
625,-7.349999999999999,50.0
626,-7.349999999999999,50.0
627,-7.349999999999999,50.0
628,-7.349999999999999,50.0
629,-7.349999999999999,50.0
630,-7.349999999999999,50.0
631,-7.349999999999999,50.0
632,-7.349999999999999,50.0
633,-7.349999999999999,50.0
634,-7.349999999999999,50.0
635,-7.349999999999999,50.0
636,-7.349999999999999,50.0
637,-7.349999999999999,50.0
638,-7.349999999999999,50.0
639,-7.349999999999999,50.0
640,-7.349999999999999,50.0
641,-7.349999999999999,50.0
