timesteps,ep_rew_mean,ep_len_mean
51,-8.7,50.0
52,-8.7,50.0
53,-8.7,50.0
54,-8.7,50.0
55,-8.7,50.0
56,-8.7,50.0
57,-8.7,50.0
58,-8.7,50.0
59,-8.7,50.0
60,-8.7,50.0
61,-8.7,50.0
62,-8.7,50.0
63,-8.7,50.0
64,-8.7,50.0
65,-8.7,50.0
66,-8.7,50.0
67,-8.7,50.0
68,-8.7,50.0
69,-8.7,50.0
70,-8.7,50.0
71,-8.7,50.0
72,-8.7,50.0
73,-8.7,50.0
74,-8.7,50.0
75,-8.7,50.0
76,-8.7,50.0
77,-8.7,50.0
78,-8.7,50.0
79,-8.7,50.0
80,-8.7,50.0
81,-8.7,50.0
82,-8.7,50.0
83,-8.7,50.0
84,-8.7,50.0
85,-8.7,50.0
86,-8.7,50.0
87,-8.7,50.0
88,-8.7,50.0
89,-8.7,50.0
90,-8.7,50.0
91,-8.7,50.0
92,-8.7,50.0
93,-8.7,50.0
94,-8.7,50.0
95,-8.7,50.0
96,-8.7,50.0
97,-8.7,50.0
98,-8.7,50.0
99,-8.7,50.0
100,-8.7,50.0
101,-8.7,50.0
102,-8.7,50.0
103,-8.7,50.0
104,-8.7,50.0
105,-8.7,50.0
106,-8.7,50.0
107,-8.7,50.0
108,-8.7,50.0
109,-8.7,50.0
110,-8.7,50.0
111,-8.7,50.0
112,-8.7,50.0
113,-8.7,50.0
114,-8.7,50.0
115,-8.7,50.0
116,-8.7,50.0
117,-8.7,50.0
118,-8.7,50.0
119,-8.7,50.0
120,-8.7,50.0
121,-8.7,50.0
122,-8.7,50.0
123,-8.7,50.0
124,-8.7,50.0
125,-8.7,50.0
126,-8.7,50.0
127,-8.7,50.0
128,-8.7,50.0
129,-8.7,50.0
130,-8.7,50.0
131,-8.7,50.0
132,-8.7,50.0
133,-8.7,50.0
134,-8.7,50.0
135,-8.7,50.0
136,-8.7,50.0
137,-8.7,50.0
138,-8.7,50.0
139,-8.7,50.0
140,-8.7,50.0
141,-8.7,50.0
142,-8.7,50.0
143,-8.7,50.0
144,-8.7,50.0
145,-8.7,50.0
146,-8.7,50.0
147,-8.7,50.0
148,-8.7,50.0
149,-8.7,50.0
150,-8.7,50.0
151,-8.299999999999999,50.0
152,-8.299999999999999,50.0
153,-8.299999999999999,50.0
154,-8.299999999999999,50.0
155,-8.299999999999999,50.0
156,-8.299999999999999,50.0
157,-8.299999999999999,50.0
158,-8.299999999999999,50.0
159,-8.299999999999999,50.0
160,-8.299999999999999,50.0
161,-8.299999999999999,50.0
162,-8.299999999999999,50.0
163,-8.299999999999999,50.0
164,-8.299999999999999,50.0
165,-8.299999999999999,50.0
166,-8.299999999999999,50.0
167,-8.299999999999999,50.0
168,-8.299999999999999,50.0
169,-8.299999999999999,50.0
170,-8.299999999999999,50.0
171,-8.299999999999999,50.0
172,-8.299999999999999,50.0
173,-8.299999999999999,50.0
174,-8.299999999999999,50.0
175,-8.299999999999999,50.0
176,-8.299999999999999,50.0
177,-8.299999999999999,50.0
178,-8.299999999999999,50.0
179,-8.299999999999999,50.0
180,-8.299999999999999,50.0
181,-8.299999999999999,50.0
182,-8.299999999999999,50.0
183,-8.299999999999999,50.0
184,-8.299999999999999,50.0
185,-8.299999999999999,50.0
186,-8.299999999999999,50.0
187,-8.299999999999999,50.0
188,-8.299999999999999,50.0
189,-8.299999999999999,50.0
190,-8.299999999999999,50.0
191,-8.299999999999999,50.0
192,-8.299999999999999,50.0
193,-8.299999999999999,50.0
194,-8.299999999999999,50.0
195,-8.299999999999999,50.0
196,-8.299999999999999,50.0
197,-8.299999999999999,50.0
198,-8.299999999999999,50.0
199,-8.299999999999999,50.0
200,-8.299999999999999,50.0
201,-8.25,50.0
202,-8.25,50.0
203,-8.25,50.0
204,-8.25,50.0
205,-8.25,50.0
206,-8.25,50.0
207,-8.25,50.0
208,-8.25,50.0
209,-8.25,50.0
210,-8.25,50.0
211,-8.25,50.0
212,-8.25,50.0
213,-8.25,50.0
214,-8.25,50.0
215,-8.25,50.0
216,-8.25,50.0
217,-8.25,50.0
218,-8.25,50.0
219,-8.25,50.0
220,-8.25,50.0
221,-8.25,50.0
222,-8.25,50.0
223,-8.25,50.0
224,-8.25,50.0
225,-8.25,50.0
226,-8.25,50.0
227,-8.25,50.0
228,-8.25,50.0
229,-8.25,50.0
230,-8.25,50.0
231,-8.25,50.0
232,-8.25,50.0
233,-8.25,50.0
234,-8.25,50.0
235,-8.25,50.0
236,-8.25,50.0
237,-8.25,50.0
238,-8.25,50.0
239,-8.25,50.0
240,-8.25,50.0
241,-8.25,50.0
242,-8.25,50.0
243,-8.25,50.0
244,-8.25,50.0
245,-8.25,50.0
246,-8.25,50.0
247,-8.25,50.0
248,-8.25,50.0
249,-8.25,50.0
250,-8.25,50.0
251,-8.22,50.0
252,-8.22,50.0
253,-8.22,50.0
254,-8.22,50.0
255,-8.22,50.0
256,-8.22,50.0
257,-8.22,50.0
258,-8.22,50.0
259,-8.22,50.0
260,-8.22,50.0
261,-8.22,50.0
262,-8.22,50.0
263,-8.22,50.0
264,-8.22,50.0
265,-8.22,50.0
266,-8.22,50.0
267,-8.22,50.0
268,-8.22,50.0
269,-8.22,50.0
270,-8.22,50.0
271,-8.22,50.0
272,-8.22,50.0
273,-8.22,50.0
274,-8.22,50.0
275,-8.22,50.0
276,-8.22,50.0
277,-8.22,50.0
278,-8.22,50.0
279,-8.22,50.0
280,-8.22,50.0
281,-8.22,50.0
282,-8.22,50.0
283,-8.22,50.0
284,-8.22,50.0
285,-8.22,50.0
286,-8.22,50.0
287,-8.22,50.0
288,-8.22,50.0
289,-8.22,50.0
290,-8.22,50.0
291,-8.22,50.0
292,-8.22,50.0
293,-8.22,50.0
294,-8.22,50.0
295,-8.22,50.0
296,-8.22,50.0
297,-8.22,50.0
298,-8.22,50.0
299,-8.22,50.0
300,-8.22,50.0
301,-8.200000000000001,50.0
302,-8.200000000000001,50.0
303,-8.200000000000001,50.0
304,-8.200000000000001,50.0
305,-8.200000000000001,50.0
306,-8.200000000000001,50.0
307,-8.200000000000001,50.0
308,-8.200000000000001,50.0
309,-8.200000000000001,50.0
310,-8.200000000000001,50.0
311,-8.200000000000001,50.0
312,-8.200000000000001,50.0
313,-8.200000000000001,50.0
314,-8.200000000000001,50.0
315,-8.200000000000001,50.0
316,-8.200000000000001,50.0
317,-8.200000000000001,50.0
318,-8.200000000000001,50.0
319,-8.200000000000001,50.0
320,-8.200000000000001,50.0
321,-8.200000000000001,50.0
322,-8.200000000000001,50.0
323,-8.200000000000001,50.0
324,-8.200000000000001,50.0
325,-8.200000000000001,50.0
326,-8.200000000000001,50.0
327,-8.200000000000001,50.0
328,-8.200000000000001,50.0
329,-8.200000000000001,50.0
330,-8.200000000000001,50.0
331,-8.200000000000001,50.0
332,-8.200000000000001,50.0
